HosRetailSiteID,HosProductCode,LastUpdated,HosRetailSiteFlag
100682,2493,2019-01-17 09:05:08.577,1
100682,4991,2017-08-09 00:06:00.110,1
100739,0,2017-08-09 00:05:57.757,1
100739,2491,2019-01-14 04:00:10.797,1
100739,2492,2019-01-14 04:00:10.797,1
100739,2493,2019-01-14 04:00:10.797,1
100739,4991,2017-08-09 00:05:31.890,1
100750,0,2017-08-09 00:05:58.333,1
100750,2491,2019-01-16 10:55:06.277,1
100750,2492,2019-01-16 10:55:06.277,1
100750,2493,2019-01-16 10:55:06.277,1
100750,4991,2017-08-09 00:05:54.760,1
100773,0,2017-08-09 00:06:00.063,1
100773,2491,2019-01-14 04:00:10.813,1
100773,2492,2019-01-14 04:00:10.813,1
100773,2493,2019-01-14 04:00:10.813,1
100773,4991,2017-08-09 00:05:58.613,1
100800,0,2017-08-09 00:06:01.873,1
100800,2491,2019-01-16 10:55:06.293,1
100800,2492,2019-01-16 10:55:06.277,1
100800,2493,2019-01-16 10:55:06.277,1
100800,4991,2017-08-09 00:05:37.460,1
100816,2491,2016-11-28 00:05:34.280,1
100816,2492,2016-11-28 00:05:34.263,1
100816,2493,2016-11-28 00:05:35.463,1
